Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,9,1,0.25,248.632,10.7085,0.1815
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,fill,Track ID,Frame,Time(sec),X,Y,Z,,,15,1,0.25,346.657,10.7085,0.1815
248.632,10.7085,0.1815,um,Spot,Position,1,1000000008,8,fill,9,1,0.25,248.632,10.7085,0.1815,,,16,1,0.25,52.1679,11.1991,0.1815
346.657,10.7085,0.1815,um,Spot,Position,1,1000000014,14,fill,15,1,0.25,346.657,10.7085,0.1815,,,19,1,0.25,32.9705,11.6746,0.1815
52.1679,11.1991,0.1815,um,Spot,Position,1,1000000015,15,fill,16,1,0.25,52.1679,11.1991,0.1815,,,21,1,0.25,272.717,11.8309,0.1815
32.9705,11.6746,0.1815,um,Spot,Position,1,1000000018,18,fill,19,1,0.25,32.9705,11.6746,0.1815,,,22,1,0.25,17.6547,12.1559,0.1815
272.717,11.8309,0.1815,um,Spot,Position,1,1000000020,20,fill,21,1,0.25,272.717,11.8309,0.1815,,,23,1,0.25,88.5576,12.3352,0.1815
17.6547,12.1559,0.1815,um,Spot,Position,1,1000000021,21,fill,22,1,0.25,17.6547,12.1559,0.1815,,,25,1,0.25,276.922,12.426,0.1815
88.5576,12.3352,0.1815,um,Spot,Position,1,1000000022,22,fill,23,1,0.25,88.5576,12.3352,0.1815,,,35,1,0.25,172.615,14.434,0.1815
276.922,12.426,0.1815,um,Spot,Position,1,1000000024,24,fill,25,1,0.25,276.922,12.426,0.1815,,,44,1,0.25,23.4686,15.8854,0.1815
172.615,14.434,0.1815,um,Spot,Position,1,1000000034,34,fill,35,1,0.25,172.615,14.434,0.1815,,,45,1,0.25,124.6,15.8234,0.1815
23.4686,15.8854,0.1815,um,Spot,Position,1,1000000043,43,fill,44,1,0.25,23.4686,15.8854,0.1815,,,55,1,0.25,260.633,16.8744,0.1815
124.6,15.8234,0.1815,um,Spot,Position,1,1000000044,44,fill,45,1,0.25,124.6,15.8234,0.1815,,,63,1,0.25,116.966,18.5332,0.1815
260.633,16.8744,0.1815,um,Spot,Position,1,1000000054,54,fill,55,1,0.25,260.633,16.8744,0.1815,,,76,1,0.25,293.464,20.0664,0.1815
116.966,18.5332,0.1815,um,Spot,Position,1,1000000062,62,fill,63,1,0.25,116.966,18.5332,0.1815,,,81,1,0.25,306.409,21.2203,0.1815
293.464,20.0664,0.1815,um,Spot,Position,1,1000000075,75,fill,76,1,0.25,293.464,20.0664,0.1815,,,90,1,0.25,314.904,22.7166,0.1815
306.409,21.2203,0.1815,um,Spot,Position,1,1000000080,80,fill,81,1,0.25,306.409,21.2203,0.1815,,,98,1,0.25,292.824,23.9315,0.1815
