Position,,,,,,,,,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,0.25,,,copy-paste columns S-X directly into 2ptrack,8,1,0.25,295.338,258.637,0.1815
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,fill,Track ID,Frame,Time(sec),X,Y,Z,,,15,1,0.25,422.484,258.637,0.1815
295.338,258.637,0.1815,um,Spot,Position,1,1000000007,7,fill,8,1,0.25,295.338,258.637,0.1815,,,17,1,0.25,468.483,258.637,0.1815
422.484,258.637,0.1815,um,Spot,Position,1,1000000014,14,fill,15,1,0.25,422.484,258.637,0.1815,,,26,1,0.25,362.448,259.978,0.1815
468.483,258.637,0.1815,um,Spot,Position,1,1000000016,16,fill,17,1,0.25,468.483,258.637,0.1815,,,30,1,0.25,470.481,261.132,0.1815
362.448,259.978,0.1815,um,Spot,Position,1,1000000025,25,fill,26,1,0.25,362.448,259.978,0.1815,,,31,1,0.25,191.293,261.577,0.1815
470.481,261.132,0.1815,um,Spot,Position,1,1000000029,29,fill,30,1,0.25,470.481,261.132,0.1815,,,32,1,0.25,246.308,261.448,0.1815
191.293,261.577,0.1815,um,Spot,Position,1,1000000030,30,fill,31,1,0.25,191.293,261.577,0.1815,,,33,1,0.25,274.245,261.445,0.1815
246.308,261.448,0.1815,um,Spot,Position,1,1000000031,31,fill,32,1,0.25,246.308,261.448,0.1815,,,36,1,0.25,441.813,261.794,0.1815
274.245,261.445,0.1815,um,Spot,Position,1,1000000032,32,fill,33,1,0.25,274.245,261.445,0.1815,,,39,1,0.25,277.928,263.055,0.1815
441.813,261.794,0.1815,um,Spot,Position,1,1000000035,35,fill,36,1,0.25,441.813,261.794,0.1815,,,40,1,0.25,406.064,262.858,0.1815
277.928,263.055,0.1815,um,Spot,Position,1,1000000038,38,fill,39,1,0.25,277.928,263.055,0.1815,,,42,1,0.25,147.479,263.439,0.1815
406.064,262.858,0.1815,um,Spot,Position,1,1000000039,39,fill,40,1,0.25,406.064,262.858,0.1815,,,44,1,0.25,425.974,263.907,0.1815
147.479,263.439,0.1815,um,Spot,Position,1,1000000041,41,fill,42,1,0.25,147.479,263.439,0.1815,,,45,1,0.25,209.131,264.402,0.1815
425.974,263.907,0.1815,um,Spot,Position,1,1000000043,43,fill,44,1,0.25,425.974,263.907,0.1815,,,46,1,0.25,256.895,264.417,0.1815
209.131,264.402,0.1815,um,Spot,Position,1,1000000044,44,fill,45,1,0.25,209.131,264.402,0.1815,,,47,1,0.25,288.672,264.577,0.1815
256.895,264.417,0.1815,um,Spot,Position,1,1000000045,45,fill,46,1,0.25,256.895,264.417,0.1815,,,50,1,0.25,392.217,264.44,0.1815
288.672,264.577,0.1815,um,Spot,Position,1,1000000046,46,fill,47,1,0.25,288.672,264.577,0.1815,,,52,1,0.25,351.211,264.895,0.1815
