Neutrophils	Lm-RT
0.37	23.05
0.45	16.07
0.24	38.31
0.37	83.65
0.85	23.7
0.45	17.45
0.23	69.07
0.24	36.25
0.22	34.71
0.31	20
0.31	27.07
0.24	15.69
0.78	18.95
0.18	13.83
0.47	16
0.36	16.75
0.48	17.7
0.26	27.31
0.31	17.52
	12.72
	14.52
	23.79
	15.82
	13.07
	18.25
	15.32
	19.29
	18.64
	8.5
	15.39
	15.99
	29.18
	22.25
	19.73
	17.05
	12.42
	15.43
	21.37
	16.59
	17.65
	17.06
	11.94
	17.69
	18.19
	14.78
	15.22
	13.56
	13.64
	14.64
	12.96
	15.58
	13.91
	19.73
	16.19
	23.87
	19.81
	16.76
	16.49
	20.76
	10.27
	19.73
	14.61
	9.77
	20.42
	19.11
	19.27
	22.58
	13.36
	14.23
	13.42
	16.45
	14.69
	15.73
	12.33
	12.4
	12.21
	16.88
	14.12
	15.47
	15.52
	19.22
	13.95
	11.31
	23.39
	18.29
	18.65
	12.13
	12.98
	16.99
	14.48
	37.59
	28.75
	15.24
	18.27
	18.72
	16.55
	43.23
	21.59
	20.89
	16.1
	15.7
	20.23
