
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
162.539,0.1815,0.1815,µm,Spot,Position,1,1000000010,10,
180.604,1.23423,0.1815,µm,Spot,Position,1,1000000011,11,
173.542,5.047,0.1815,µm,Spot,Position,1,1000000021,21,
16.7902,6.00731,0.1815,µm,Spot,Position,1,1000000023,23,
125.783,10.8114,0.1815,µm,Spot,Position,1,1000000036,36,
76.5555,12.1698,0.1815,µm,Spot,Position,1,1000000045,45,
182.137,18.6707,0.1815,µm,Spot,Position,1,1000000064,64,
14.7856,20.0008,0.1815,µm,Spot,Position,1,1000000068,68,
130.033,21.3883,0.1815,µm,Spot,Position,1,1000000071,71,
64.7069,21.6021,0.1815,µm,Spot,Position,1,1000000072,72,
25.0858,21.8235,0.1815,µm,Spot,Position,1,1000000073,73,
4.99083,27.3287,0.1815,µm,Spot,Position,1,1000000088,88,
67.8192,27.7891,0.1815,µm,Spot,Position,1,1000000091,91,
173.666,29.4717,0.1815,µm,Spot,Position,1,1000000099,99,
61.6362,31.6002,0.1815,µm,Spot,Position,1,1000000105,105,
47.4136,32.5375,0.1815,µm,Spot,Position,1,1000000109,109,
81.5675,33.1338,0.1815,µm,Spot,Position,1,1000000111,111,
93.9892,35.886,0.1815,µm,Spot,Position,1,1000000118,118,
13.837,41.3235,0.1815,µm,Spot,Position,1,1000000130,130,
131.253,43.2655,0.1815,µm,Spot,Position,1,1000000138,138,
91.5494,45.9341,0.1815,µm,Spot,Position,1,1000000149,149,
44.2588,46.749,0.1815,µm,Spot,Position,1,1000000150,150,
134.897,48.5686,0.1815,µm,Spot,Position,1,1000000154,154,
155.892,50.7259,0.1815,µm,Spot,Position,1,1000000161,161,
27.9326,51.8241,0.1815,µm,Spot,Position,1,1000000163,163,
79.0612,51.8008,0.1815,µm,Spot,Position,1,1000000164,164,
14.744,57.4186,0.1815,µm,Spot,Position,1,1000000176,176,
82.1252,58.0555,0.1815,µm,Spot,Position,1,1000000179,179,
60.8932,58.4099,0.1815,µm,Spot,Position,1,1000000182,182,
113.996,58.9249,0.1815,µm,Spot,Position,1,1000000187,187,
102.224,59.6528,0.1815,µm,Spot,Position,1,1000000188,188,
119.564,63.59,0.1815,µm,Spot,Position,1,1000000199,199,
50.1837,64.3647,0.1815,µm,Spot,Position,1,1000000200,200,
107.92,69.6807,0.1815,µm,Spot,Position,1,1000000215,215,
134.656,69.7609,0.1815,µm,Spot,Position,1,1000000217,217,
172.625,70.284,0.1815,µm,Spot,Position,1,1000000220,220,
184.661,74.8158,0.1815,µm,Spot,Position,1,1000000228,228,
151.064,75.448,0.1815,µm,Spot,Position,1,1000000230,230,
52.8479,75.7426,0.1815,µm,Spot,Position,1,1000000231,231,
88.2922,75.6555,0.1815,µm,Spot,Position,1,1000000232,232,
