I;D
motility_egd_rt;618,0032382
motility_egd_rt;641,5859228
motility_egd_rt;531,5865613
motility_egd_rt;1028,332798
motility_egd_rt;446,4757711
motility_egd_rt;691,3212347
motility_egd_rt;414,0919981
motility_egd_rt;672,6744449
motility_egd_rt;620,5442908
motility_egd_rt;501,2962772
motility_egd_rt;965,5797831
motility_egd_rt;899,7800562
motility_egd_rt;527,4728303
motility_egd_rt;390,6789775
motility_egd_rt;726,0703565
motility_egd_rt;829,5193021
motility_egd_rt;422,206987
motility_egd_rt;1060,358853
motility_egd_rt;1484,053459
motility_egd_rt;653,6572625
motility_egd_rt;529,60973
motility_egd_rt;424,2585962
motility_egd_rt;735,1794822
motility_egd_rt;826,7138068
motility_egd_rt;692,4965096
motility_egd_rt;825,7415325
motility_egd_rt;923,5554009
motility_egd_rt;810,3045051
motility_egd_rt;712,3762346
motility_egd_rt;756,9689555
motility_egd_rt;513,7879964
motility_egd_rt;616,9367734
motility_egd_rt;994,9778538
motility_egd_rt;682,5593243
motility_egd_rt;476,4502758
motility_egd_rt;396,9093767
motility_egd_rt;598,6182186
motility_egd_rt;489,524645
motility_egd_rt;439,6200025
motility_egd_rt;862,7237464
motility_egd_rt;591,8678412
motility_egd_rt;463,3165526
motility_egd_rt;897,1640857
motility_egd_rt;524,1328676
motility_egd_rt;871,9706555
motility_egd_rt;562,1907266
motility_egd_rt;377,0800395
motility_egd_rt;524,4745596
motility_egd_rt;796,7826989
motility_egd_rt;668,0604405
motility_egd_rt;607,8430054
motility_egd_rt;579,7731602
motility_egd_rt;1496,482006
motility_egd_rt;541,3869315
motility_egd_rt;906,4595457
motility_egd_rt;604,1682232
motility_egd_rt;674,2821811
motility_egd_rt;805,1788843
motility_egd_rt;458,0980739
motility_egd_rt;490,2549502
motility_egd_rt;645,8247507
motility_egd_rt;784,0864948
motility_egd_rt;683,685835
motility_egd_rt;734,2788588
motility_egd_rt;720,1559108
motility_egd_rt;519,0762784
motility_egd_rt;693,8539725
motility_egd_rt;805,3394725
motility_egd_rt;463,860321
motility_egd_rt;477,2630918
motility_egd_rt;635,4553078
motility_egd_rt;562,4471968
motility_egd_rt;905,2258884
motility_egd_rt;610,4604515
motility_egd_rt;517,4125105
motility_egd_rt;604,5577356
motility_egd_rt;600,5957247
motility_egd_rt;880,8767569
motility_egd_rt;942,2254727
motility_egd_rt;909,6550541
motility_egd_rt;932,240426
motility_egd_rt;713,0667118
motility_egd_rt;440,6678516
motility_egd_rt;560,4298237
motility_egd_rt;1044,515279
motility_egd_rt;675,4003303
motility_egd_rt;888,9659254
motility_egd_rt;596,6272854
