Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,,Template for Motility Lab,,,time(sec) for experiment in cell O1 from input box,25,,,copy-paste columns S-X directly into 2ptrack,3,1,25,0.5,27.2179,1.25
108.27,20.9568,1.25,µm,Spot,Position,1,1000000001,1,fill,Track ID,Frame,Time(sec),X,Y,Z,,,4,1,25,52.4627,74.7907,1.25
0.5,27.2179,1.25,µm,Spot,Position,1,1000000002,2,fill,3,1,25,0.5,27.2179,1.25,,,5,1,25,46.525,109.586,1.25
52.4627,74.7907,1.25,µm,Spot,Position,1,1000000003,3,fill,4,1,25,52.4627,74.7907,1.25,,,8,1,25,110.7,131.294,1.25
46.525,109.586,1.25,µm,Spot,Position,1,1000000004,4,fill,5,1,25,46.525,109.586,1.25,,,14,1,25,70.3512,0.5,10.1374
110.7,131.294,1.25,µm,Spot,Position,1,1000000007,7,fill,8,1,25,110.7,131.294,1.25,,,16,1,25,161.693,24.5354,10.4961
70.3512,0.5,10.1374,µm,Spot,Position,1,1000000013,13,fill,14,1,25,70.3512,0.5,10.1374,,,19,1,25,164.649,51.097,13.2835
161.693,24.5354,10.4961,µm,Spot,Position,1,1000000015,15,fill,16,1,25,161.693,24.5354,10.4961,,,20,1,25,136.926,101.715,14.6104
164.649,51.097,13.2835,µm,Spot,Position,1,1000000018,18,fill,19,1,25,164.649,51.097,13.2835,,,22,1,25,87.558,30.313,15.7148
136.926,101.715,14.6104,µm,Spot,Position,1,1000000019,19,fill,20,1,25,136.926,101.715,14.6104,,,23,1,25,147.123,77.7568,17.1264
87.558,30.313,15.7148,µm,Spot,Position,1,1000000021,21,fill,22,1,25,87.558,30.313,15.7148,,,24,1,25,147.694,102.528,16.384
147.123,77.7568,17.1264,µm,Spot,Position,1,1000000022,22,fill,23,1,25,147.123,77.7568,17.1264,,,25,1,25,141.776,173.83,16.7817
147.694,102.528,16.384,µm,Spot,Position,1,1000000023,23,fill,24,1,25,147.694,102.528,16.384,,,26,1,25,38.827,195.508,15.4579
141.776,173.83,16.7817,µm,Spot,Position,1,1000000024,24,fill,25,1,25,141.776,173.83,16.7817,,,31,1,25,147.92,29.6973,19.6925
38.827,195.508,15.4579,µm,Spot,Position,1,1000000025,25,fill,26,1,25,38.827,195.508,15.4579,,,32,1,25,54.9516,174.502,19.1606
147.92,29.6973,19.6925,µm,Spot,Position,1,1000000030,30,fill,31,1,25,147.92,29.6973,19.6925,,,33,1,25,109.746,47.3716,21.3425
54.9516,174.502,19.1606,µm,Spot,Position,1,1000000031,31,fill,32,1,25,54.9516,174.502,19.1606,,,34,1,25,199.5,92.7481,20.0558
109.746,47.3716,21.3425,µm,Spot,Position,1,1000000032,32,fill,33,1,25,109.746,47.3716,21.3425,,,36,1,25,183.34,146.17,22.2211
199.5,92.7481,20.0558,µm,Spot,Position,1,1000000033,33,fill,34,1,25,199.5,92.7481,20.0558,,,37,1,25,157.944,150.259,21.3707
183.34,146.17,22.2211,µm,Spot,Position,1,1000000035,35,fill,36,1,25,183.34,146.17,22.2211,,,38,1,25,174,195.785,20.8722
157.944,150.259,21.3707,µm,Spot,Position,1,1000000036,36,fill,37,1,25,157.944,150.259,21.3707,,,39,1,25,22.684,77.1733,23.699
174,195.785,20.8722,µm,Spot,Position,1,1000000037,37,fill,38,1,25,174,195.785,20.8722,,,41,1,25,130.025,193.322,22.6535
22.684,77.1733,23.699,µm,Spot,Position,1,1000000038,38,fill,39,1,25,22.684,77.1733,23.699,,,42,1,25,171.087,165.482,26.0319
130.025,193.322,22.6535,µm,Spot,Position,1,1000000040,40,fill,41,1,25,130.025,193.322,22.6535,,,43,1,25,72.6795,79.4972,31.9048
171.087,165.482,26.0319,µm,Spot,Position,1,1000000041,41,fill,42,1,25,171.087,165.482,26.0319,,,44,1,25,189.382,130.039,30.6625
72.6795,79.4972,31.9048,µm,Spot,Position,1,1000000042,42,fill,43,1,25,72.6795,79.4972,31.9048,,,45,1,25,181.913,164.955,30.0642
189.382,130.039,30.6625,µm,Spot,Position,1,1000000043,43,fill,44,1,25,189.382,130.039,30.6625,,,46,1,25,124.781,57.5082,35.0569
